P-ab,P-ac,P-bc,τ_ab,τ_abc,τ_max,ρ_a,ρ_b,ρ_c,ρ_ab,ρ_abc,θ,N,L
0.33468333,0.33278334,0.33253333,1,1.001,999999,0,0,0,0,0,0.001,10000,500
0.3271,0.33015,0.34275,1,1.001,999999,0,0,0,0,0,0.01,10000,500
0.33605,0.3398,0.32415,1,1.001,999999,0,0,0,0,0,0.05,10000,500
0.33135,0.33685,0.3318,1,1.001,999999,0,0,0,0,0,0.1,10000,500
0.33658335,0.32703334,0.33638334,1,1.001,999999,0,0,0,0,0,0.2,10000,500
0.33295,0.33105,0.336,1,1.001,999999,0,0,0,5,0,0.001,10000,500
0.32898334,0.33693334,0.33408332,1,1.001,999999,0,0,0,5,0,0.01,10000,500
0.3345,0.3396,0.3259,1,1.001,999999,0,0,0,5,0,0.05,10000,500
0.34233335,0.32848334,0.32918334,1,1.001,999999,0,0,0,5,0,0.1,10000,500
0.33343333,0.33528334,0.33128333,1,1.001,999999,0,0,0,5,0,0.2,10000,500
0.33763334,0.33193332,0.33043334,1,1.001,999999,0,0,0,10,0,0.001,10000,500
0.33676666,0.33241665,0.33081666,1,1.001,999999,0,0,0,10,0,0.01,10000,500
0.32413334,0.33658335,0.33928335,1,1.001,999999,0,0,0,10,0,0.05,10000,500
0.33111668,0.34151667,0.32736668,1,1.001,999999,0,0,0,10,0,0.1,10000,500
0.33858332,0.33288333,0.32853332,1,1.001,999999,0,0,0,10,0,0.2,10000,500
0.32193333,0.34098333,0.33708334,1,1.001,999999,5,0,0,0,0,0.001,10000,500
0.31896666,0.32121667,0.35981667,1,1.001,999999,5,0,0,0,0,0.01,10000,500
0.31801668,0.31626666,0.36571667,1,1.001,999999,5,0,0,0,0,0.05,10000,500
0.31946668,0.32236665,0.35816666,1,1.001,999999,5,0,0,0,0,0.1,10000,500
0.32616666,0.32476667,0.34906667,1,1.001,999999,5,0,0,0,0,0.2,10000,500
0.33513334,0.32658333,0.33828333,1,1.001,999999,5,0,0,5,0,0.001,10000,500
0.32685,0.3202,0.35295,1,1.001,999999,5,0,0,5,0,0.01,10000,500
0.32358333,0.31823334,0.35818332,1,1.001,999999,5,0,0,5,0,0.05,10000,500
0.31755,0.3201,0.36235,1,1.001,999999,5,0,0,5,0,0.1,10000,500
0.32995,0.3205,0.34955,1,1.001,999999,5,0,0,5,0,0.2,10000,500
0.33371666,0.32686666,0.33941665,1,1.001,999999,5,0,0,10,0,0.001,10000,500
0.32713333,0.31913334,0.35373333,1,1.001,999999,5,0,0,10,0,0.01,10000,500
0.32531667,0.31506667,0.35961667,1,1.001,999999,5,0,0,10,0,0.05,10000,500
0.32413334,0.31803334,0.35783333,1,1.001,999999,5,0,0,10,0,0.1,10000,500
0.32976666,0.32311666,0.34711668,1,1.001,999999,5,0,0,10,0,0.2,10000,500
0.33236668,0.32646668,0.34116668,1,1.001,999999,10,0,0,0,0,0.001,10000,500
0.31305,0.3197,0.36725,1,1.001,999999,10,0,0,0,0,0.01,10000,500
0.30785,0.3125,0.37965,1,1.001,999999,10,0,0,0,0,0.05,10000,500
0.30341667,0.31276667,0.38381666,1,1.001,999999,10,0,0,0,0,0.1,10000,500
0.31921667,0.32381666,0.35696667,1,1.001,999999,10,0,0,0,0,0.2,10000,500
0.32726666,0.32956666,0.34316668,1,1.001,999999,10,0,0,5,0,0.001,10000,500
0.30953333,0.31543332,0.37503332,1,1.001,999999,10,0,0,5,0,0.01,10000,500
0.30451667,0.31191668,0.38356668,1,1.001,999999,10,0,0,5,0,0.05,10000,500
0.31771666,0.31596667,0.36631668,1,1.001,999999,10,0,0,5,0,0.1,10000,500
0.32113335,0.32343334,0.35543334,1,1.001,999999,10,0,0,5,0,0.2,10000,500
0.32931668,0.33041668,0.34026667,1,1.001,999999,10,0,0,10,0,0.001,10000,500
0.31081668,0.32156667,0.36761665,1,1.001,999999,10,0,0,10,0,0.01,10000,500
0.30915,0.30975,0.3811,1,1.001,999999,10,0,0,10,0,0.05,10000,500
